"","Term","Score","Ontology","Ontology_URI","Term_URI"
"1","physical state",19.27,"NCIT","http://bioportal.bioontology.org/ontologies/NCIT","http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73487"
"14","physical state",6.1,"NPO","http://bioportal.bioontology.org/ontologies/NPO","http://purl.bioontology.org/ontology/npo#NPO_888"
"26","physical state",3.03,"CRISP","http://bioportal.bioontology.org/ontologies/CRISP","http://purl.bioontology.org/ontology/CSP/4000-0293"
"29","physical state",2.44,"EP","http://bioportal.bioontology.org/ontologies/EP","http://purl.org/obo/owl/FMA#FMA_85812"
"30","physical state",2.44,"FMA","http://bioportal.bioontology.org/ontologies/FMA","http://sig.uw.edu/fma#Physical_state"
"31","physical state",2.28,"BIOMODELS","http://bioportal.bioontology.org/ontologies/BIOMODELS","http://purl.org/obo/owlapi/fma#FMA_85812"
"33","particle concentration",18.9,"NPO","http://bioportal.bioontology.org/ontologies/NPO","http://purl.bioontology.org/ontology/npo#NPO_1830"
"34","particle concentration",14.12,"OPB","http://bioportal.bioontology.org/ontologies/OPB","http://bhi.washington.edu/OPB#OPB01000"
"65","medium",8.74,"SEP","http://bioportal.bioontology.org/ontologies/SEP","http://purl.obolibrary.org/obo/sep_00037"
"66","medium",8.5,"BCGO","http://bioportal.bioontology.org/ontologies/BCGO","http://www.owl-ontologies.com/Ontology1239104585.owl#Medium"
"67","medium",8.3,"MCCV","http://bioportal.bioontology.org/ontologies/MCCV","http://purl.jp/bio/01/gmo#Medium"
"68","medium",8.15,"NCIT","http://bioportal.bioontology.org/ontologies/NCIT","http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48164"
"69","medium",4.88,"NPO","http://bioportal.bioontology.org/ontologies/NPO","http://purl.bioontology.org/ontology/npo#NPO_1853"
"70","medium",4.24,"PHARE","http://bioportal.bioontology.org/ontologies/PHARE","http://www.stanford.edu/~coulet/phare.owl#DrugMedia"
"71","medium",3.89,"RCD","http://bioportal.bioontology.org/ontologies/RCD","http://purl.bioontology.org/ontology/RCD/X791A"
"72","medium",3.86,"RADLEX","http://bioportal.bioontology.org/ontologies/RADLEX","http://www.owl-ontologies.com/RADLEX.owl#RID5775"
"73","medium",3.61,"HL7","http://bioportal.bioontology.org/ontologies/HL7","http://purl.bioontology.org/ontology/HL7/C1561547"
"74","medium",3.28,"SWEET","http://bioportal.bioontology.org/ontologies/SWEET","http://sweet.jpl.nasa.gov/2.3/matr.owl#Medium"
"75","medium",3.21,"SNOMEDCT","http://bioportal.bioontology.org/ontologies/SNOMEDCT","http://purl.bioontology.org/ontology/SNOMEDCT/255508009"
"76","medium",2.9,"DCM","http://bioportal.bioontology.org/ontologies/DCM","http://dicom.nema.org/resources/ontology/DCM/111576"
"77","medium",2.7,"AURA","http://bioportal.bioontology.org/ontologies/AURA","http://www.projecthalo.com/aura#Medium"
"92","nanoparticle",6.1,"NPO","http://bioportal.bioontology.org/ontologies/NPO","http://purl.bioontology.org/ontology/npo#NPO_707"
"93","nanoparticle",5.77,"HUPSON","http://bioportal.bioontology.org/ontologies/HUPSON","http://purl.obolibrary.org/obo/CHEBI_50803"
"94","nanoparticle",5.57,"MESH","http://bioportal.bioontology.org/ontologies/MESH","http://purl.bioontology.org/ontology/MESH/D053758"
"95","nanoparticle",3.86,"CHEBI","http://bioportal.bioontology.org/ontologies/CHEBI","http://purl.obolibrary.org/obo/CHEBI_50803"
"96","nanoparticle",3.79,"BIOMODELS","http://bioportal.bioontology.org/ontologies/BIOMODELS","http://purl.obolibrary.org/obo/CHEBI_50803"
"97","nanoparticle",2.78,"NCIT","http://bioportal.bioontology.org/ontologies/NCIT","http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62308"
"98","experiment",9,"GFO-BIO","http://bioportal.bioontology.org/ontologies/GFO-BIO","http://onto.eva.mpg.de/ontologies/gfo-bio.owl#Experiment"
"99","experiment",7.82,"CPTAC","http://bioportal.bioontology.org/ontologies/CPTAC","http://proteomeontology.org/cpo.owl#Experiment"
"100","experiment",6.75,"MO","http://bioportal.bioontology.org/ontologies/MO","http://mged.sourceforge.net/ontologies/MGEDOntology.owl#Experiment"
"101","experiment",6.1,"NPO","http://bioportal.bioontology.org/ontologies/NPO","http://purl.bioontology.org/ontology/npo#NPO_1407"
"102","experiment",5.71,"SIO","http://bioportal.bioontology.org/ontologies/SIO","http://semanticscience.org/resource/SIO_000994"
"103","experiment",5.36,"NCIT","http://bioportal.bioontology.org/ontologies/NCIT","http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42790"
"105","experiment",5.06,"BIRNLEX","http://bioportal.bioontology.org/ontologies/BIRNLEX","http://bioontology.org/projects/ontologies/birnlex#birnlex_2117"
"106","experiment",4.92,"SWEET","http://bioportal.bioontology.org/ontologies/SWEET","http://sweet.jpl.nasa.gov/2.3/humanResearch.owl#Experiment"
"107","experiment",4.58,"GALEN","http://bioportal.bioontology.org/ontologies/GALEN","http://www.co-ode.org/ontologies/galen#Experiment"
"108","experiment",4.51,"AURA","http://bioportal.bioontology.org/ontologies/AURA","http://www.projecthalo.com/aura#Experiment"
"110","experiment",3.98,"ONTOAD","http://bioportal.bioontology.org/ontologies/ONTOAD","http://doe-generated-ontology.com/OntoAD#C0681814"
"111","experiment",3.57,"NIFSTD","http://bioportal.bioontology.org/ontologies/NIFSTD","http://ontology.neuinfo.org/NIF/DigitalEntities/NIF-Investigation.owl#birnlex_2117"
